h3,lat,lon,status,stored_lcoh_solar,stored_lcoh_wind,stored_lcoh_best,solar_lcoh,wind_lcoh,lcoh_delta_solar,lcoh_delta_wind,solar_cf,wind_cf,solar_c_electricityPv,solar_c_electricityWind,solar_c_electricityGrid,solar_c_electrolyzerCapex,solar_c_stackReplacements,solar_c_electrolyzerOpex,solar_c_water,wind_c_electricityPv,wind_c_electricityWind,wind_c_electricityGrid,wind_c_electrolyzerCapex,wind_c_stackReplacements,wind_c_electrolyzerOpex,wind_c_water,solar_util,wind_util,solar_ely_cf,wind_ely_cf,solar_flh,wind_flh,solar_operating_hours,wind_operating_hours,solar_stack_replacements,wind_stack_replacements,solar_curtail_frac,wind_curtail_frac,solar_lcoe_usd_mwh,wind_lcoe_usd_mwh,solar_lcoe_per_consumed,wind_lcoe_per_consumed,pv_provider,pv_dataset_version,pv_valid,pv_reasons,wind_provider,wind_dataset_version,wind_valid,wind_reasons,lcoh_wacc_2024,lcoh_optimal_2024,optimal_ratio,optimal_pv_share,engine_version
837281fffffffff,-2.9726,136.2351,ready,11.9560,,11.9560,11.9556,,-0.000364,,0.1342,,4.9530,0.0000,0.0000,6.2060,0.0000,0.7921,0.0045,,,,,,,,0.9654,,0.2591,,2269.9,,4378.0,,0,,0.0346,,79.52,,82.37,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8372b5fffffffff,-1.5411,132.4390,ready,11.3380,,11.3380,11.3381,,0.000144,,0.1430,,4.6971,0.0000,0.0000,5.8853,0.0000,0.7512,0.0045,,,,,,,,0.9552,,0.2732,,2393.6,,4377.0,,0,,0.0448,,74.61,,78.11,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
839cd8fffffffff,-6.5329,139.2015,ready,12.0010,28.4510,12.0010,12.0011,28.4511,0.000137,0.000068,0.1339,0.0694,4.9719,0.0000,0.0000,6.2296,0.0000,0.7951,0.0045,0.0000,15.2310,0.0000,11.7197,0.0000,1.4959,0.0045,0.9641,0.9882,0.2581,0.1372,2261.3,1202.0,4429.0,5021.0,0,0,0.0359,0.0118,79.71,250.29,82.68,253.28,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt7a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83728dfffffffff,-2.5974,138.5502,ready,11.8510,57.9540,11.8510,11.8508,57.9543,-0.000196,0.000307,0.1362,0.0356,4.9096,0.0000,0.0000,6.1516,0.0000,0.7852,0.0045,0.0000,31.0278,0.0000,23.8748,0.0000,3.0473,0.0045,0.9595,0.9447,0.2614,0.0674,2290.0,590.0,4410.0,2179.0,0,0,0.0405,0.0553,78.34,487.45,81.64,515.98,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8372d2fffffffff,-5.2740,140.7686,ready,13.2530,85.8220,13.2530,13.2527,85.8219,-0.000313,-0.000086,0.1211,0.0231,5.4906,0.0000,0.0000,6.8795,0.0000,0.8781,0.0045,0.0000,45.9488,0.0000,35.3560,0.0000,4.5127,0.0045,0.9653,0.9857,0.2338,0.0455,2047.7,398.4,4290.0,2546.0,0,0,0.0347,0.0143,88.14,753.20,91.31,764.11,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
839cdefffffffff,-6.3447,140.3528,ready,12.4970,36.0370,12.4970,12.4965,36.0372,-0.000479,0.000204,0.1281,0.0549,5.1772,0.0000,0.0000,6.4869,0.0000,0.8280,0.0045,0.0000,19.2928,0.0000,14.8451,0.0000,1.8948,0.0045,0.9676,0.9873,0.2479,0.1083,2171.6,948.9,4347.0,4560.0,0,0,0.0324,0.0127,83.31,316.76,86.09,320.83,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt6a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
837288fffffffff,-3.6833,138.1354,ready,11.9940,27.2650,11.9940,11.9945,27.2650,0.000481,-0.000013,0.1365,0.0722,4.9691,0.0000,0.0000,6.2262,0.0000,0.7947,0.0045,0.0000,14.5959,0.0000,11.2311,0.0000,1.4335,0.0045,0.9463,0.9913,0.2583,0.1432,2262.5,1254.3,4406.0,6207.0,0,0,0.0537,0.0087,78.19,240.62,82.63,242.72,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
839cc2fffffffff,-8.2754,140.6721,ready,10.7910,10.8520,10.2010,10.7908,10.8523,-0.000167,0.000344,0.1528,0.1992,4.4703,0.0000,0.0000,5.6011,0.0000,0.7149,0.0045,0.0000,5.7188,0.0000,4.4004,0.1670,0.5617,0.0045,0.9393,0.9034,0.2871,0.3599,2515.0,3152.6,4340.0,6733.0,0,1,0.0607,0.0966,69.83,87.24,74.34,96.57,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt8a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83728efffffffff,-3.8701,136.9792,ready,13.3880,,13.3880,13.3876,,-0.000433,,0.1201,,5.5465,0.0000,0.0000,6.9496,0.0000,0.8870,0.0045,,,,,,,,0.9637,,0.2314,,2027.0,,4366.0,,0,,0.0363,,88.89,,92.24,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
837283fffffffff,-4.0549,135.8245,ready,12.5760,,12.5760,12.5758,,-0.000181,,0.1288,,5.2101,0.0000,0.0000,6.5281,0.0000,0.8332,0.0045,,,,,,,,0.9563,,0.2463,,2157.9,,4375.0,,0,,0.0437,,82.86,,86.64,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
