h3,lat,lon,status,stored_lcoh_solar,stored_lcoh_wind,stored_lcoh_best,solar_lcoh,wind_lcoh,lcoh_delta_solar,lcoh_delta_wind,solar_cf,wind_cf,solar_c_electricityPv,solar_c_electricityWind,solar_c_electricityGrid,solar_c_electrolyzerCapex,solar_c_stackReplacements,solar_c_electrolyzerOpex,solar_c_water,wind_c_electricityPv,wind_c_electricityWind,wind_c_electricityGrid,wind_c_electrolyzerCapex,wind_c_stackReplacements,wind_c_electrolyzerOpex,wind_c_water,solar_util,wind_util,solar_ely_cf,wind_ely_cf,solar_flh,wind_flh,solar_operating_hours,wind_operating_hours,solar_stack_replacements,wind_stack_replacements,solar_curtail_frac,wind_curtail_frac,solar_lcoe_usd_mwh,wind_lcoe_usd_mwh,solar_lcoe_per_consumed,wind_lcoe_per_consumed,pv_provider,pv_dataset_version,pv_valid,pv_reasons,wind_provider,wind_dataset_version,wind_valid,wind_reasons,lcoh_wacc_2024,lcoh_optimal_2024,optimal_ratio,optimal_pv_share,engine_version
836556fffffffff,4.8128,96.8877,ready,11.0620,,11.0620,11.0616,,-0.000369,,0.1510,,4.5825,0.0000,0.0000,5.7418,0.0000,0.7329,0.0045,,,,,,,,0.9275,,0.2801,,2453.4,,4424.0,,0,,0.0725,,70.68,,76.21,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
838cd6fffffffff,-0.9311,102.5749,ready,11.4450,70.3120,11.4450,11.4445,70.3121,-0.000499,0.000118,0.1408,0.0278,4.7412,0.0000,0.0000,5.9406,0.0000,0.7582,0.0045,0.0000,37.6444,0.0000,28.9661,0.0000,3.6971,0.0045,0.9614,1.0000,0.2707,0.0555,2371.3,486.3,4377.0,3355.0,0,0,0.0386,0.0000,75.80,626.01,78.84,626.01,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368abfffffffff,1.8729,117.2073,ready,11.3960,44.3310,11.3960,11.3964,44.3312,0.000442,0.000221,0.1411,0.0459,4.7213,0.0000,0.0000,5.9156,0.0000,0.7550,0.0045,0.0000,23.7336,0.0000,18.2622,0.0000,2.3309,0.0045,0.9631,0.9585,0.2718,0.0881,2381.3,771.4,4373.0,3522.0,0,0,0.0369,0.0415,75.62,378.29,78.51,394.68,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836886fffffffff,0.0691,113.8125,ready,11.6320,,11.6320,11.6317,,-0.000312,,0.1376,,4.8188,0.0000,0.0000,6.0378,0.0000,0.7706,0.0045,,,,,,,,0.9677,,0.2663,,2333.1,,4338.0,,0,,0.0323,,77.54,,80.13,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
838caafffffffff,-3.0102,106.0150,ready,10.2440,13.0220,10.2440,10.2436,13.0219,-0.000408,-0.000145,0.1659,0.1714,4.1781,0.0000,0.0000,5.2351,0.1577,0.6682,0.0045,0.0000,6.8844,0.0000,5.2973,0.1596,0.6761,0.0045,0.9222,0.8820,0.3059,0.3023,2680.0,2648.5,4380.0,6333.0,1,1,0.0778,0.1180,64.34,101.39,69.76,114.95,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838c90fffffffff,0.8006,109.1767,ready,10.9840,50.5430,10.9840,10.9841,50.5429,0.000125,-0.000123,0.1493,0.0389,4.5504,0.0000,0.0000,5.7015,0.0000,0.7277,0.0045,0.0000,27.0595,0.0000,20.8213,0.0000,2.6576,0.0045,0.9444,0.9923,0.2820,0.0772,2470.7,676.6,4353.0,3586.0,0,0,0.0556,0.0077,71.46,446.54,75.67,449.99,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836893fffffffff,-2.7873,113.8507,ready,11.0330,46.6920,11.0330,11.0332,46.6921,0.000220,0.000104,0.1468,0.0419,4.5707,0.0000,0.0000,5.7270,0.0000,0.7310,0.0045,0.0000,24.9977,0.0000,19.2349,0.0000,2.4551,0.0045,0.9563,0.9980,0.2808,0.0836,2459.7,732.4,4320.0,3969.0,0,0,0.0437,0.0020,72.69,414.89,76.01,415.70,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cd2fffffffff,-0.1256,101.7796,ready,11.1760,66.0880,11.1760,11.1762,66.0880,0.000181,0.000010,0.1444,0.0297,4.6300,0.0000,0.0000,5.8012,0.0000,0.7404,0.0045,0.0000,35.3827,0.0000,27.2258,0.0000,3.4750,0.0045,0.9596,0.9951,0.2772,0.0591,2428.3,517.4,4374.0,3612.0,0,0,0.0404,0.0049,73.88,585.54,76.99,588.40,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368acfffffffff,3.5054,115.8460,ready,10.9190,88.0560,10.9190,10.9194,88.0560,0.000365,-0.000010,0.1511,0.0232,4.5236,0.0000,0.0000,5.6679,0.0000,0.7234,0.0045,0.0000,47.1449,0.0000,36.2764,0.0000,4.6302,0.0045,0.9388,0.9542,0.2837,0.0443,2485.4,388.3,4318.0,2249.0,0,0,0.0612,0.0458,70.62,748.08,75.22,784.00,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83652bfffffffff,2.3257,99.3578,ready,11.2480,58.2280,11.2480,11.2481,58.2276,0.000114,-0.000358,0.1446,0.0372,4.6598,0.0000,0.0000,5.8386,0.0000,0.7452,0.0045,0.0000,31.1741,0.0000,23.9874,0.0000,3.0617,0.0045,0.9524,0.9011,0.2754,0.0670,2412.7,587.3,4379.0,2268.0,0,0,0.0476,0.0989,73.80,467.15,77.49,518.41,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836894fffffffff,-1.2688,112.4386,ready,10.9950,87.1590,10.9950,10.9946,87.1592,-0.000385,0.000181,0.1480,0.0225,4.5547,0.0000,0.0000,5.7070,0.0000,0.7284,0.0045,0.0000,46.6648,0.0000,35.9069,0.0000,4.5830,0.0045,0.9519,0.9973,0.2818,0.0448,2468.4,392.3,4326.0,2684.0,0,0,0.0481,0.0027,72.10,773.95,75.74,776.01,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368adfffffffff,3.7520,116.8648,ready,10.8940,,10.8940,10.8941,,0.000150,,0.1485,,4.5131,0.0000,0.0000,5.6548,0.0000,0.7218,0.0045,,,,,,,,0.9578,,0.2844,,2491.2,,4350.0,,0,,0.0422,,71.88,,75.05,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836895fffffffff,-0.9841,113.4802,ready,11.2650,,11.2650,11.2655,,0.000466,,0.1428,,4.6670,0.0000,0.0000,5.8476,0.0000,0.7464,0.0045,,,,,,,,0.9630,,0.2750,,2409.0,,4332.0,,0,,0.0370,,74.73,,77.61,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8368aefffffffff,2.4512,115.5111,ready,11.3490,,11.3490,11.3488,,-0.000185,,0.1431,,4.7015,0.0000,0.0000,5.8909,0.0000,0.7519,0.0045,,,,,,,,0.9540,,0.2730,,2391.3,,4321.0,,0,,0.0460,,74.58,,78.18,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836896fffffffff,-2.3219,112.1076,ready,10.9630,45.1970,10.9630,10.9629,45.1975,-0.000126,0.000462,0.1477,0.0435,4.5416,0.0000,0.0000,5.6905,0.0000,0.7263,0.0045,0.0000,24.1974,0.0000,18.6191,0.0000,2.3765,0.0045,0.9564,0.9923,0.2826,0.0864,2475.5,756.6,4302.0,4139.0,0,0,0.0436,0.0077,72.23,399.30,75.52,402.39,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838c94fffffffff,0.0061,109.9221,ready,11.4420,,11.4420,11.4418,,-0.000250,,0.1409,,4.7401,0.0000,0.0000,5.9392,0.0000,0.7580,0.0045,,,,,,,,0.9606,,0.2708,,2371.9,,4364.0,,0,,0.0394,,75.72,,78.82,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836880fffffffff,0.3469,114.8441,ready,11.2630,,11.2630,11.2634,,0.000437,,0.1423,,4.6662,0.0000,0.0000,5.8466,0.0000,0.7462,0.0045,,,,,,,,0.9662,,0.2751,,2409.5,,4354.0,,0,,0.0338,,74.97,,77.60,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8368b2fffffffff,-0.4943,111.7194,ready,11.2680,,11.2680,11.2680,,0.000025,,0.1435,,4.6681,0.0000,0.0000,5.8489,0.0000,0.7465,0.0045,,,,,,,,0.9578,,0.2749,,2408.5,,4320.0,,0,,0.0422,,74.35,,77.63,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83688dfffffffff,1.0249,117.8878,ready,11.2460,94.7810,11.2460,11.2462,94.7814,0.000228,0.000442,0.1437,0.0207,4.6590,0.0000,0.0000,5.8376,0.0000,0.7451,0.0045,0.0000,50.7459,0.0000,39.0472,0.0000,4.9838,0.0045,0.9587,0.9945,0.2755,0.0412,2413.1,360.8,4376.0,2668.0,0,0,0.0413,0.0055,74.28,839.23,77.48,843.88,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836881fffffffff,0.6216,115.8652,ready,11.0610,,11.0610,11.0605,,-0.000460,,0.1459,,4.5821,0.0000,0.0000,5.7412,0.0000,0.7328,0.0045,,,,,,,,0.9597,,0.2801,,2453.7,,4349.0,,0,,0.0403,,73.13,,76.20,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83689afffffffff,-3.2395,115.5554,ready,10.9050,28.8050,10.9050,10.9050,28.8053,-0.000000,0.000296,0.1493,0.0734,4.5176,0.0000,0.0000,5.6604,0.0000,0.7225,0.0045,0.0000,15.4207,0.0000,11.8657,0.0000,1.5145,0.0045,0.9514,0.9237,0.2841,0.1355,2488.7,1187.2,4418.0,4818.0,0,0,0.0486,0.0763,71.48,236.86,75.13,256.44,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cb0fffffffff,-1.8443,110.3279,ready,11.3330,31.6430,11.3330,11.3335,31.6432,0.000496,0.000230,0.1431,0.0625,4.6952,0.0000,0.0000,5.8829,0.0000,0.7509,0.0045,0.0000,16.9402,0.0000,13.0349,0.0000,1.6637,0.0045,0.9549,0.9873,0.2734,0.1234,2394.6,1080.7,4382.0,4521.0,0,0,0.0451,0.0127,74.56,278.14,78.08,281.71,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368b3fffffffff,-0.2114,112.7707,ready,11.4770,,11.4770,11.4772,,0.000172,,0.1400,,4.7547,0.0000,0.0000,5.9575,0.0000,0.7604,0.0045,,,,,,,,0.9639,,0.2699,,2364.6,,4352.0,,0,,0.0361,,76.21,,79.07,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83688efffffffff,-0.1852,116.5407,ready,11.3570,76.9690,11.3570,11.3571,76.9693,0.000150,0.000304,0.1417,0.0255,4.7050,0.0000,0.0000,5.8952,0.0000,0.7524,0.0045,0.0000,41.2088,0.0000,31.7088,0.0000,4.0472,0.0045,0.9624,0.9956,0.2728,0.0507,2389.6,444.3,4372.0,3207.0,0,0,0.0376,0.0044,75.30,682.23,78.24,685.28,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836882fffffffff,-0.7016,114.5120,ready,11.3030,,11.3030,11.3033,,0.000280,,0.1422,,4.6827,0.0000,0.0000,5.8672,0.0000,0.7489,0.0045,,,,,,,,0.9634,,0.2741,,2401.0,,4353.0,,0,,0.0366,,75.02,,77.87,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8368a8fffffffff,2.7144,116.5313,ready,10.9910,,10.9910,10.9909,,-0.000095,,0.1477,,4.5532,0.0000,0.0000,5.7050,0.0000,0.7282,0.0045,,,,,,,,0.9540,,0.2819,,2469.2,,4343.0,,0,,0.0460,,72.24,,75.72,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836883fffffffff,-0.4218,115.5335,ready,11.1500,,11.1500,11.1498,,-0.000234,,0.1445,,4.6190,0.0000,0.0000,5.7875,0.0000,0.7387,0.0045,,,,,,,,0.9616,,0.2779,,2434.0,,4368.0,,0,,0.0384,,73.86,,76.81,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt0a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83689cfffffffff,-1.4621,115.2026,ready,11.1870,,11.1870,11.1865,,-0.000465,,0.1447,,4.6343,0.0000,0.0000,5.8066,0.0000,0.7411,0.0045,,,,,,,,0.9567,,0.2769,,2426.0,,4374.0,,0,,0.0433,,73.73,,77.07,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
838cb2fffffffff,-0.7795,110.6591,ready,11.3370,,11.3370,11.3371,,0.000057,,0.1425,,4.6967,0.0000,0.0000,5.8848,0.0000,0.7511,0.0045,,,,,,,,0.9590,,0.2733,,2393.8,,4367.0,,0,,0.0410,,74.90,,78.10,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
838d92fffffffff,-3.5304,114.5436,ready,10.5240,22.5210,10.5240,10.5238,22.5214,-0.000173,0.000409,0.1582,0.0915,4.3596,0.0000,0.0000,5.4625,0.0000,0.6972,0.0045,0.0000,12.0561,0.0000,9.2768,0.0000,1.1840,0.0045,0.9302,0.9476,0.2944,0.1733,2578.9,1518.5,4347.0,5310.0,0,0,0.0698,0.0524,67.44,189.99,72.50,200.49,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
836890fffffffff,-2.0333,113.1490,ready,11.0740,64.9400,11.0740,11.0740,64.9396,0.000010,-0.000410,0.1464,0.0302,4.5876,0.0000,0.0000,5.7482,0.0000,0.7337,0.0045,0.0000,34.7678,0.0000,26.7526,0.0000,3.4146,0.0045,0.9558,0.9967,0.2798,0.0601,2450.7,526.6,4312.0,3408.0,0,0,0.0442,0.0033,72.92,576.24,76.29,578.17,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368a9fffffffff,2.9120,117.5444,ready,10.4360,,10.4360,10.4361,,0.000102,,0.1571,,4.3233,0.0000,0.0000,5.4169,0.0000,0.6914,0.0045,,,,,,,,0.9446,,0.2969,,2600.5,,4373.0,,0,,0.0554,,67.91,,71.89,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
836884fffffffff,1.1255,114.1457,ready,11.4050,,11.4050,11.4049,,-0.000133,,0.1416,,4.7248,0.0000,0.0000,5.9200,0.0000,0.7556,0.0045,,,,,,,,0.9594,,0.2716,,2379.6,,4375.0,,0,,0.0406,,75.38,,78.57,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83689dfffffffff,-1.2027,116.2111,ready,11.3710,62.0880,11.3710,11.3708,62.0879,-0.000239,-0.000078,0.1411,0.0315,4.7106,0.0000,0.0000,5.9023,0.0000,0.7533,0.0045,0.0000,33.2410,0.0000,25.5778,0.0000,3.2646,0.0045,0.9658,0.9994,0.2725,0.0629,2386.7,550.8,4392.0,3839.0,0,0,0.0342,0.0006,75.65,552.45,78.34,552.78,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
838cb3fffffffff,-1.0666,109.5905,ready,10.7020,33.1050,10.7020,10.7018,33.1053,-0.000248,0.000348,0.1561,0.0599,4.4334,0.0000,0.0000,5.5549,0.0000,0.7090,0.0045,0.0000,17.7230,0.0000,13.6372,0.0000,1.7406,0.0045,0.9272,0.9841,0.2895,0.1179,2536.0,1033.0,4374.0,4433.0,0,0,0.0728,0.0159,68.36,290.03,73.72,294.73,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83956afffffffff,-3.1608,128.6321,ready,11.6130,26.7590,11.6130,11.6130,26.7586,0.000025,-0.000398,0.1386,0.0773,4.8110,0.0000,0.0000,6.0281,0.0000,0.7694,0.0045,0.0000,14.3248,0.0000,11.0224,0.0000,1.4069,0.0045,0.9621,0.9439,0.2668,0.1459,2336.9,1278.0,4309.0,4259.0,0,0,0.0379,0.0561,76.97,224.86,80.01,238.21,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83956bfffffffff,-2.9845,129.7603,ready,11.4140,79.9830,11.4140,11.4143,79.9835,0.000263,0.000493,0.1410,0.0250,4.7287,0.0000,0.0000,5.9249,0.0000,0.7562,0.0045,0.0000,42.8227,0.0000,32.9506,0.0000,4.2057,0.0045,0.9627,0.9771,0.2714,0.0488,2377.6,427.5,4345.0,1888.0,0,0,0.0373,0.0229,75.71,695.82,78.64,712.12,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
839544fffffffff,-3.5059,126.4000,ready,10.6510,,10.6510,10.6513,,0.000314,,0.1555,,4.4125,0.0000,0.0000,5.5287,0.0000,0.7057,0.0045,,,,,,,,0.9354,,0.2909,,2548.0,,4326.0,,0,,0.0646,,68.64,,73.38,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt4a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
837390fffffffff,0.7820,127.9387,ready,10.4190,20.0330,10.4190,10.4194,20.0332,0.000439,0.000218,0.1642,0.1040,4.2499,0.0000,0.0000,5.3250,0.1604,0.6797,0.0045,0.0000,10.7239,0.0000,8.2516,0.0000,1.0532,0.0045,0.9160,0.9370,0.3008,0.1949,2634.7,1707.2,4377.0,6303.0,1,0,0.0840,0.0630,65.00,167.09,70.96,178.33,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
83952cfffffffff,-2.4189,120.6501,ready,11.1670,,11.1670,11.1667,,-0.000341,,0.1483,,4.6260,0.0000,0.0000,5.7963,0.0000,0.7398,0.0045,,,,,,,,0.9351,,0.2774,,2430.3,,4378.0,,0,,0.0649,,71.94,,76.93,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8368c8fffffffff,1.2900,124.9781,ready,9.9510,24.0390,9.9510,9.9507,24.0388,-0.000303,-0.000207,0.1748,0.0909,4.0586,0.0000,0.0000,5.0853,0.1532,0.6491,0.0045,0.0000,12.8686,0.0000,9.9019,0.0000,1.2638,0.0045,0.9010,0.8934,0.3149,0.1624,2758.9,1422.7,4367.0,4304.0,1,0,0.0990,0.1066,61.06,191.19,67.77,214.00,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83950dfffffffff,-5.0354,122.7598,ready,10.1720,22.5320,10.1720,10.1722,22.5319,0.000218,-0.000147,0.1664,0.0887,4.1490,0.0000,0.0000,5.1986,0.1566,0.6635,0.0045,0.0000,12.0617,0.0000,9.2811,0.0000,1.1846,0.0045,0.9257,0.9762,0.3081,0.1733,2698.8,1517.8,4422.0,5077.0,1,0,0.0743,0.0238,64.13,195.80,69.28,200.58,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
8368d3fffffffff,-1.3798,121.0045,ready,10.7930,,10.7930,10.7932,,0.000214,,0.1531,,4.4713,0.0000,0.0000,5.6024,0.0000,0.7151,0.0045,,,,,,,,0.9374,,0.2870,,2514.5,,4379.0,,0,,0.0626,,69.70,,74.36,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
83952dfffffffff,-2.2515,121.7077,ready,10.9490,,10.9490,10.9488,,-0.000179,,0.1483,,4.5358,0.0000,0.0000,5.6832,0.0000,0.7254,0.0045,,,,,,,,0.9537,,0.2830,,2478.7,,4379.0,,0,,0.0463,,71.94,,75.43,,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt2a180-2014-2023/tmy-v1,true,"",,,,"",,,,,0.1.0
8368c2fffffffff,0.7221,121.7206,ready,10.1770,90.3920,10.1770,10.1774,90.3918,0.000404,-0.000190,0.1699,0.0216,4.1511,0.0000,0.0000,5.2012,0.1567,0.6639,0.0045,0.0000,48.3956,0.0000,37.2387,0.0000,4.7530,0.0045,0.9063,1.0000,0.3079,0.0432,2697.4,378.3,4380.0,3830.0,1,0,0.0937,0.0000,62.82,804.80,69.31,804.80,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a0-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
8368defffffffff,-1.2053,122.0677,ready,11.3130,85.0040,11.3130,11.3135,85.0041,0.000472,0.000075,0.1440,0.0230,4.6869,0.0000,0.0000,5.8725,0.0000,0.7495,0.0045,0.0000,45.5109,0.0000,35.0190,0.0000,4.4697,0.0045,0.9508,0.9972,0.2738,0.0459,2398.8,402.3,4374.0,3304.0,0,0,0.0492,0.0028,74.10,754.73,77.94,756.82,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt1a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
839500fffffffff,-5.4812,119.6014,ready,10.3250,12.6120,10.0580,10.3253,12.6118,0.000267,-0.000152,0.1631,0.1863,4.2773,0.0000,0.0000,5.3594,0.0000,0.6840,0.0045,0.0000,6.6675,0.0000,5.1304,0.1545,0.6548,0.0045,0.9200,0.8378,0.3001,0.3122,2628.5,2734.6,4379.0,6182.0,0,1,0.0800,0.1622,65.44,93.27,71.13,111.33,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt5a180-2014-2023/tmy-v1,true,"",open-meteo,om-era5-2015-2024-hub120-iec-class-III-5.6MW-airdensity/tmy-v1,true,"",,,,,0.1.0
83952efffffffff,-3.4494,120.2981,ready,10.4680,95.7150,10.4680,10.4682,95.7146,0.000194,-0.000408,0.1584,0.0204,4.3366,0.0000,0.0000,5.4336,0.0000,0.6935,0.0045,0.0000,51.2455,0.0000,39.4317,0.0000,5.0329,0.0045,0.9343,0.9996,0.2960,0.0408,2592.6,357.3,4379.0,4127.0,0,0,0.0657,0.0004,67.38,851.82,72.12,852.19,pvgis-seriescalc,pvgis-5.3-pvgis-era5-pv_fixed-tilt3a180-2014-2023/tmy-v1,true,"",nasa-power,nasa-power-2015-2024-hub120-generic-5.6MW/tmy-v1,true,"",,,,,0.1.0
